model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.7583,0.2434,-1.5438,7.9733
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.2528,-1.0835,-0.3836,1.5402
CMCC-CM,['rcp45' 'rcp85'],0.7937,2.2965,-9.2214,18.9249
CMCC-CMS,['rcp45' 'rcp85'],0.7924,2.817,-3.4188,5.0253
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.1149,7.7091,-1.1536,21.4193
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.6078,0.2598,-0.9182,4.5997
CanESM2,['rcp26' 'rcp85'],0.7043,-0.1954,-0.3133,0.0957
EC-EARTH,['rcp45' 'rcp85'],0.899,0.0749,-2.8718,3.0272
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.2817,-3.1106,-0.6698,9.7824
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.5859,-0.4823,-0.792,2.9966
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0146,-1.6095,-0.1043,3.2218
HadGEM2-CC,['rcp45' 'rcp85'],0.7354,6.0574,-2.6986,13.6114
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.7351,4.187,-3.0922,11.8822
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8655,1.7273,-6.4396,8.6507
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9315,-0.1381,-3.9757,3.7923
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.067,1.3083,-3.2578,1.7038
MIROC5,['rcp45' 'rcp85'],0.8592,-1.7337,-1.8376,10.826
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.7952,2.533,-1.9302,4.816
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9146,1.4321,-2.6961,2.4894
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.7805,-0.0403,-4.8227,5.9662
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0011,0.9656,-0.0119,0.9701
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0388,0.9913,-0.0764,1.3008
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8821,1.2639,-2.9304,3.2522
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.6586,2.135,-1.5161,2.4534
