model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8791,-0.53,0.5725,3.988
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0309,-0.3821,0.0292,1.9976
CMCC-CESM,['rcp85'],0.7803,-0.8461,0.249,1.0598
CMCC-CM,['rcp45' 'rcp85'],0.9756,0.2176,1.3198,2.2411
CMCC-CMS,['rcp45' 'rcp85'],0.9184,-0.2419,0.5788,1.9759
CNRM-CM5,['rcp26' 'rcp45'],0.8433,2.4335,0.8013,3.1988
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.7998,-0.0555,0.3788,2.3477
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.7196,-0.1845,0.0519,0.0778
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.002,-1.2881,-0.0094,3.2631
GISS-E2-R-CC,['rcp45' 'rcp85'],0.063,-0.8501,0.0441,2.4853
HadGEM2-CC,['rcp45' 'rcp85'],0.9418,1.858,0.8909,2.9942
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9147,-1.5064,0.9122,3.8264
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9225,-0.5765,0.9687,4.9836
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9114,0.658,0.8406,4.9064
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.935,-0.3348,0.5863,2.1422
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.9241,1.054,0.6537,3.4364
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.9532,-0.2868,0.9999,2.8452
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8445,2.5173,0.5084,3.6565
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.8916,1.2262,0.62,3.1593
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8113,0.2203,0.806,5.1282
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0189,1.165,-0.0164,0.9528
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0,1.2734,0.0005,1.3533
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.8581,2.1787,0.6541,3.9127
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.7046,0.9657,0.2964,2.1225
inmcm4,['rcp45' 'rcp85'],0.9168,0.0141,0.6378,2.3856
