model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8791,-0.53,0.5733,0.0022,3.988
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.5619,-0.9026,-0.1932,-1.1626,0.903
CMCC-CM,['rcp45' 'rcp85'],0.9756,0.2132,1.3292,0.0802,2.2401
CMCC-CMS,['rcp45' 'rcp85'],0.9247,0.21,0.4844,-0.6735,1.8228
CNRM-CM5,['rcp26' 'rcp45'],0.8439,2.452,0.7845,-0.0895,3.1862
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.8494,0.1906,0.665,0.8377,1.766
CanESM2,['rcp26' 'rcp85'],0.7653,-0.218,0.0467,-0.0494,0.0759
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.2367,-0.6423,-0.2986,-1.2493,2.4955
HadGEM2-CC,['rcp45' 'rcp85'],0.9493,1.0728,1.0768,0.6933,2.6059
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9148,-1.405,0.8952,-0.0718,3.8228
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9306,-0.207,0.7284,-1.763,4.4627
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9407,-0.0307,0.3096,-2.5825,3.2812
MIROC5,['rcp45' 'rcp85'],0.9844,-0.249,1.0576,0.0084,1.1993
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.852,2.372,0.3797,-0.5372,3.482
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9251,1.2197,0.229,-1.7563,2.1838
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8419,-0.184,0.4943,-2.1279,4.297
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.2299,1.1944,-0.1625,-0.4745,0.7479
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.3433,0.985,-0.2386,-0.6879,0.8887
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9078,1.3589,0.2872,-1.764,2.5434
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.7408,1.2171,0.1899,-0.6661,1.8629
