model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.8925,-1.0858,2.7632,0.1878,3.5457
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.6132,-0.7495,3.8519,-0.4541,0.7973
CMCC-CM,['rcp45' 'rcp85'],0.9757,0.3619,-0.5008,1.414,2.2257
CMCC-CMS,['rcp45' 'rcp85'],0.9247,-0.6161,1.636,0.2975,1.823
CNRM-CM5,['rcp26' 'rcp45'],0.862,2.1638,3.3312,0.3255,2.8177
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.8059,-0.1351,0.9402,0.2528,2.2762
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.771,-0.269,0.359,-0.0028,0.0635
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0768,-1.5385,1.5632,-0.1381,3.0182
HadGEM2-CC,['rcp45' 'rcp85'],0.9564,1.2022,2.4902,0.4279,2.2426
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.9258,-1.9794,1.9503,0.5579,3.3267
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.9271,-0.4263,-2.2433,1.3415,4.6894
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.9114,0.6632,0.1532,0.8174,4.9049
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.9359,-0.2178,-0.5054,0.6562,2.1137
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.9408,0.6312,2.6534,0.2878,2.68
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.9735,-1.1,3.5749,0.573,1.6098
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.8628,2.228,2.1491,0.2536,3.2266
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.9535,0.6648,4.8134,0.0159,1.3542
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.8511,-0.1517,5.6185,-0.0478,4.0467
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.365,0.8645,2.2201,-0.2603,0.6167
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.2112,0.9931,1.9434,-0.2248,1.0675
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.9289,1.3631,5.5291,-0.125,1.9614
bcc-csm1-1-m,['rcp26' 'rcp45'],0.5972,1.0785,0.9968,0.1218,1.5878
inmcm4,['rcp45' 'rcp85'],0.9224,-0.0653,2.5066,0.3642,2.2265
