model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8511,0.0916,4.9443,9.1955
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.7917,0.3779,2.6239,2.8736
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.566,-0.6823,1.159,1.1828
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.1222,1.1748,0.9756,4.258
CESM2,['ssp126' 'ssp245' 'ssp585'],0.7055,-2.6432,4.8174,19.4088
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8309,-0.6728,4.6025,8.9389
CIESM,['ssp126' 'ssp245' 'ssp585'],0.7087,3.2866,8.3328,65.3497
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9596,0.5163,6.3779,4.2374
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8444,-0.3411,4.3678,7.1842
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7534,-2.0174,4.5566,11.4574
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7739,-1.2891,3.5975,12.4805
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7726,-0.217,3.5149,11.9111
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9074,2.5938,5.0249,5.0238
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9124,1.5236,5.6275,5.6527
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.05,-0.7524,-0.4826,3.9502
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.2785,-3.2651,1.3221,3.92
GISS-E2-1-G,['ssp126' 'ssp245' 'ssp585'],0.3883,-0.3278,-1.5587,4.548
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.8448,-1.7684,5.5448,15.8455
HadGEM3-GC31-MM,['ssp126' 'ssp585'],0.9091,-0.2744,3.6138,4.0298
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8604,-1.3711,4.9835,3.5716
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.6535,-0.8549,2.6709,3.0667
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.7979,1.0843,2.9992,5.1509
MIROC-ES2L,['ssp126' 'ssp245' 'ssp585'],0.8607,0.8716,5.6782,5.6009
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8363,2.8743,11.7797,24.3801
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8331,1.9769,8.6181,13.6499
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8094,1.713,5.2019,6.1395
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.8472,-1.0867,10.3817,25.4415
NESM3,['ssp126' 'ssp245' 'ssp585'],0.5982,-0.303,1.7603,3.5674
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9521,-0.733,7.2371,2.3341
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9677,-0.5065,5.7403,1.0614
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.842,-0.3355,5.8516,20.3576
