model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.8991,0.7886,1.203,-1.8818,6.2324
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.7926,0.276,2.8233,0.1178,2.8611
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.5664,-0.6697,1.2844,0.0515,1.1819
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.2637,1.4884,-0.7285,-1.2737,3.5716
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.9174,-0.408,1.2261,-1.0975,4.3665
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.9664,0.2048,5.0722,-0.7693,3.5211
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.9405,1.5321,2.149,-1.2932,2.7466
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.9038,-0.1199,1.7293,-1.5398,4.4705
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.8676,1.2752,-0.5362,-3.7273,7.3084
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.808,1.0031,1.4962,-2.0249,10.0581
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.9103,2.7309,4.7849,-0.3146,4.8668
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.9248,2.397,4.5259,-0.9018,4.8529
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0548,-0.7853,-0.2241,0.0651,3.9303
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.3242,-3.0967,2.7642,0.4687,3.6718
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.8705,-0.81,2.999,-1.1462,3.3131
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.6655,-0.7724,3.5923,0.5988,2.9602
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.8694,1.7232,1.0908,-1.7774,3.3289
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.9659,1.4233,-3.0644,-4.9405,5.0809
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.9206,0.1394,2.0703,-2.8917,6.4924
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.8749,1.4062,-0.8753,-2.7618,4.0297
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9836,-0.5161,0.7138,-2.0916,2.7327
NESM3,['ssp126' 'ssp245' 'ssp585'],0.7607,0.1564,0.6322,-1.4884,2.1248
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.9676,-0.8193,5.2523,-0.3891,1.5799
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.9691,-0.487,6.38,0.1413,1.0129
