model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6525,-0.3927,0.5662,0.0239,14.7923
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.0701,-0.751,-0.1307,-0.7903,6.9362
CMCC-CM,['rcp45' 'rcp85'],0.9398,0.0801,1.2967,-0.1786,5.7578
CMCC-CMS,['rcp45' 'rcp85'],0.7918,-0.1155,0.5608,-0.2269,6.1329
CNRM-CM5,['rcp26' 'rcp45'],0.632,2.5554,0.7564,-0.2075,9.7857
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.5627,0.0582,0.5774,0.926,7.9811
CanESM2,['rcp26' 'rcp85'],0.2773,-0.1729,0.0729,0.1458,0.6938
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.007,-1.249,-0.049,-0.1747,9.1695
HadGEM2-CC,['rcp45' 'rcp85'],0.8232,1.2561,1.0106,0.5649,10.3362
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.767,-1.5591,0.9084,-0.047,12.6465
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8703,-0.6002,0.9757,-0.1462,8.9727
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.827,0.8043,0.8453,0.5508,10.6582
MIROC5,['rcp45' 'rcp85'],0.927,-0.2086,1.0737,0.0916,5.8321
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.6716,2.6074,0.5026,0.0277,9.3061
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.6903,1.3899,0.5697,-0.2572,11.6726
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.5868,0.1281,0.7779,-0.5158,16.7291
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0201,1.2519,-0.1029,-0.3069,4.7547
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0273,1.1503,-0.1142,-0.3693,4.3703
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.5374,1.7696,0.5441,-0.3821,18.9529
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.2429,1.0361,0.2762,0.0321,13.2344
