model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS1-0,['rcp45' 'rcp85'],0.6629,-0.9155,2.5835,0.1993,14.3506
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1781,-0.6935,3.809,-0.4626,6.1307
CMCC-CM,['rcp45' 'rcp85'],0.9398,0.2493,-0.5597,1.4273,5.7536
CMCC-CMS,['rcp45' 'rcp85'],0.7934,-0.5495,1.1391,0.396,6.0857
CNRM-CM5,['rcp26' 'rcp45'],0.6454,2.2755,3.1142,0.3417,9.4272
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.5063,-0.0806,0.1732,0.3522,9.0112
CanESM2,['rcp26' 'rcp45' 'rcp85'],0.2315,-0.2109,0.2269,0.0178,0.6942
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0344,-1.6007,1.6668,-0.1562,8.916
HadGEM2-CC,['rcp45' 'rcp85'],0.8261,1.3283,2.1818,0.4772,10.1652
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.7756,-2.0508,1.7859,0.592,12.1825
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8757,-0.4373,-2.3412,1.3653,8.5961
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8265,0.7583,0.112,0.8275,10.6891
MIROC-ESM,['rcp26' 'rcp45' 'rcp85'],0.8189,-0.4038,-0.5245,0.6591,6.8365
MIROC-ESM-CHEM,['rcp26' 'rcp45' 'rcp85'],0.8427,0.5407,2.7919,0.267,7.9376
MIROC5,['rcp26' 'rcp45' 'rcp85'],0.8842,-0.8926,2.4266,0.7053,7.6248
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.6947,2.2817,2.399,0.2126,8.6508
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.7315,0.8957,4.2759,0.0791,10.1207
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.6186,-0.1992,5.9604,-0.0746,15.4407
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0807,0.9596,2.2514,-0.2576,4.4606
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0709,0.921,1.9226,-0.2231,4.1742
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.5791,1.2882,5.0801,-0.0858,17.2467
bcc-csm1-1-m,['rcp26' 'rcp45'],0.1684,0.9921,1.268,0.0868,11.6733
inmcm4,['rcp45' 'rcp85'],0.7265,-0.0856,2.1956,0.3928,9.7934
