model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.7215,1.4093,0.8038,21.3043
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.3216,1.159,0.3179,17.36
CMCC-CM2-SR5,['ssp126' 'ssp245' 'ssp585'],0.8763,1.4657,1.1713,12.6659
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8696,0.3203,0.87,6.6662
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.8155,-2.4826,0.8415,9.4469
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.712,-0.5635,0.6123,17.3885
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.7165,0.56,0.6266,16.7718
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.8406,1.6655,0.8662,9.781
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8277,1.8395,0.9493,12.5478
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.804,-0.0081,1.0279,21.424
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.6873,-1.148,0.9291,9.7779
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.3288,-0.3985,0.4079,9.5193
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.6599,0.5178,0.5485,11.2236
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.8777,2.7963,1.437,18.7112
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.8189,1.994,1.1467,16.535
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.7145,1.7851,0.6527,10.9354
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.906,0.6596,1.36,16.0731
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8048,0.9324,0.9553,10.3817
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.7258,0.8981,0.7543,10.4177
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.8355,1.1278,1.0884,22.2975
