model,sces,r2-score,alpha,beta,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.6778,0.1747,4.8921,24.6442
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.3923,0.4344,2.4971,15.5502
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.1768,-0.6523,1.2939,9.0612
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0172,1.4123,0.9156,30.7335
CESM2,['ssp126' 'ssp245' 'ssp585'],0.6409,-2.6944,4.8187,26.2172
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.7572,-0.5788,4.5411,13.8085
CIESM,['ssp126' 'ssp245' 'ssp585'],0.6914,3.2865,8.2966,70.9512
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.8933,0.8046,6.3367,12.0282
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.762,-0.3792,4.3559,12.1698
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.6749,-1.9354,4.5113,16.6441
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7126,-1.2207,3.5982,17.3514
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.6863,-0.1047,3.5106,18.5545
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.7868,3.0276,4.9321,13.0776
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8218,1.3608,5.6368,12.979
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0139,-0.6838,-0.3818,9.3445
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.149,-3.0481,1.2971,8.4896
GISS-E2-1-G,['ssp126' 'ssp245' 'ssp585'],0.2478,-0.3925,-1.5142,8.4848
HadGEM3-GC31-LL,['ssp126' 'ssp245' 'ssp585'],0.7781,-1.6311,5.4867,24.2554
HadGEM3-GC31-MM,['ssp126' 'ssp585'],0.8268,-0.291,3.6095,8.4512
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7007,-1.4602,4.9193,9.3581
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4104,-0.8506,2.659,8.3617
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.6222,0.928,2.9946,12.4664
MIROC-ES2L,['ssp126' 'ssp245' 'ssp585'],0.6731,1.2388,5.5378,16.3979
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.7954,3.3053,11.4927,31.2952
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.7596,2.2368,8.6488,21.9487
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.6843,1.8979,5.1766,12.0906
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.8248,-1.1315,10.323,29.977
NESM3,['ssp126' 'ssp245' 'ssp585'],0.393,-0.4002,1.8094,8.7918
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8565,-0.5583,7.074,7.6356
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.817,-0.3952,5.6205,6.9523
UKESM1-0-LL,['ssp126' 'ssp245' 'ssp585'],0.7928,-0.2425,5.8186,28.0926
