model,sces,r2-score,alpha,beta1,beta2,mse
ACCESS-CM2,['ssp126' 'ssp245' 'ssp585'],0.6798,0.2734,4.3767,-0.2599,24.4913
ACCESS-ESM1-5,['ssp126' 'ssp245' 'ssp585'],0.3924,0.4552,2.4426,-0.0322,15.5482
BCC-CSM2-MR,['ssp126' 'ssp245' 'ssp585'],0.1922,-0.5637,2.0269,0.3064,8.8914
CAMS-CSM1-0,['ssp126' 'ssp245' 'ssp585'],0.0544,1.6486,-0.2326,-0.8929,29.5703
CESM2-WACCM,['ssp126' 'ssp245' 'ssp585'],0.8228,-0.3863,1.7694,-0.9032,10.0747
CMCC-CM2-SR5,['ssp245' 'ssp585'],0.8972,0.5851,5.5434,-0.4755,11.5781
CNRM-CM6-1,['ssp126' 'ssp245' 'ssp585'],0.8313,1.0222,2.6342,-1.0041,8.6267
CNRM-ESM2-1,['ssp126' 'ssp245' 'ssp585'],0.7951,-0.3712,2.1482,-1.2821,10.4897
CanESM5,['ssp126' 'ssp245' 'ssp585'],0.7445,-0.2508,2.0964,-1.3567,15.4294
CanESM5-CanOE,['ssp126' 'ssp245' 'ssp585'],0.6973,0.4323,2.6794,-0.8337,17.9023
EC-Earth3,['ssp126' 'ssp245' 'ssp585'],0.7878,3.0962,4.8118,-0.159,13.0198
EC-Earth3-Veg,['ssp126' 'ssp245' 'ssp585'],0.8301,1.944,4.9002,-0.6046,12.3749
FGOALS-g3,['ssp126' 'ssp245' 'ssp585'],0.0457,-0.7237,0.3339,0.1819,9.0437
GFDL-ESM4,['ssp126' 'ssp245' 'ssp585'],0.1668,-2.9408,1.9821,0.2377,8.3127
INM-CM4-8,['ssp126' 'ssp245' 'ssp585'],0.7008,-1.4548,4.9008,-0.0109,9.3579
INM-CM5-0,['ssp126' 'ssp245' 'ssp585'],0.4144,-0.8278,2.9679,0.1998,8.3047
IPSL-CM6A-LR,['ssp126' 'ssp245' 'ssp585'],0.6445,1.1633,2.2096,-0.7374,11.7297
MIROC6,['ssp126' 'ssp245' 'ssp585'],0.875,2.2841,3.587,-2.6732,19.118
MPI-ESM1-2-HR,['ssp126' 'ssp245' 'ssp585'],0.7861,1.4286,6.2783,-1.0498,19.5365
MPI-ESM1-2-LR,['ssp126' 'ssp245' 'ssp585'],0.6867,1.8541,4.6142,-0.2618,11.9993
MRI-ESM2-0,['ssp126' 'ssp245' 'ssp585'],0.9324,-0.6882,2.3854,-1.73,11.558
NESM3,['ssp126' 'ssp245' 'ssp585'],0.4121,-0.2229,1.4696,-0.4494,8.5141
NorESM2-LM,['ssp126' 'ssp245' 'ssp585'],0.8718,-0.6709,5.203,-0.3726,6.8197
NorESM2-MM,['ssp126' 'ssp245' 'ssp585'],0.8171,-0.4043,5.4721,-0.0334,6.9485
