model,sces,r2-score,alpha,beta,mse
ACCESS1-0,['rcp45' 'rcp85'],0.693,0.4043,-1.4575,10.2082
CCSM4,['rcp26' 'rcp45' 'rcp85'],0.1949,-1.0077,-0.3822,2.1562
CMCC-CM,['rcp45' 'rcp85'],0.7163,2.8435,-8.4142,26.4225
CMCC-CMS,['rcp45' 'rcp85'],0.7246,2.9394,-3.2942,7.0719
CNRM-CM5,['rcp26' 'rcp45' 'rcp85'],0.8686,1.3167,-2.8631,3.3302
CSIRO-Mk3-6-0,['rcp26' 'rcp45' 'rcp85'],0.4909,0.3066,-0.8709,6.8125
CanESM2,['rcp26' 'rcp85'],0.5325,-0.1628,-0.3107,0.2041
EC-EARTH,['rcp45' 'rcp85'],0.8589,0.1686,-2.8116,4.3851
GFDL-ESM2G,['rcp26' 'rcp45' 'rcp85'],0.2491,-3.1224,-0.649,11.1359
GFDL-ESM2M,['rcp26' 'rcp45' 'rcp85'],0.4508,-0.1891,-0.771,5.4178
GISS-E2-R,['rcp26' 'rcp45' 'rcp85'],0.0034,-1.6308,-0.0609,4.9877
HadGEM2-CC,['rcp45' 'rcp85'],0.6791,6.3394,-2.5749,16.8891
HadGEM2-ES,['rcp26' 'rcp45' 'rcp85'],0.6666,4.1348,-2.9531,15.7842
IPSL-CM5A-LR,['rcp26' 'rcp45' 'rcp85'],0.8085,2.3465,-6.1084,12.5901
IPSL-CM5A-MR,['rcp26' 'rcp45' 'rcp85'],0.8779,0.3989,-3.8382,6.9553
IPSL-CM5B-LR,['rcp45' 'rcp85'],0.0501,1.2914,-1.7995,2.6614
MIROC5,['rcp45' 'rcp85'],0.8341,-1.6062,-1.7889,12.7867
MPI-ESM-LR,['rcp26' 'rcp45' 'rcp85'],0.7149,2.9058,-1.8221,7.03
MPI-ESM-MR,['rcp26' 'rcp45' 'rcp85'],0.8143,1.8089,-2.5082,5.6667
MRI-CGCM3,['rcp26' 'rcp45' 'rcp85'],0.642,0.3096,-4.4506,10.9523
NorESM1-M,['rcp26' 'rcp45' 'rcp85'],0.0046,1.0363,-0.0317,1.654
NorESM1-ME,['rcp26' 'rcp45' 'rcp85'],0.0249,0.9894,-0.0683,1.7144
bcc-csm1-1,['rcp26' 'rcp45' 'rcp85'],0.742,1.5648,-2.6828,7.4974
bcc-csm1-1-m,['rcp26' 'rcp45' 'rcp85'],0.4286,2.5548,-1.2651,5.0361
