,Model,LS_mean,GS_mean,IS_mean,LS_max,GS_max,IS_max,region_mean,region_max,GL_mean>160,GL_mean>170,GL_mean>180,GL_mean>190
0,ACCESS1-0,179.23357887547724,188.47475264721717,155.48020604663986,550.7972240085403,692.5001096320794,448.1457851457785,GS_mean,GS_max,True,True,True,False
1,CCSM4,147.04849175181135,132.7269049316487,174.43139962305904,474.1213953653971,403.31169109344484,502.50207373301185,IS_mean,IS_max,False,False,False,False
2,CMCC-CM,86.30656548286952,79.38766874393008,223.67667118889113,535.4332182800083,249.20926874704327,714.2856688358735,IS_mean,IS_max,False,False,False,False
3,CMCC-CMS,87.73031614215803,168.1350670680038,205.23542684610453,365.30277225063435,1171.1083235361587,590.2815750313604,IS_mean,GS_max,True,False,False,False
4,CNRM-CM5,80.12525993435199,125.62563024105363,72.56696119749988,257.2401832580566,388.00891189575196,206.12564849853516,GS_mean,GS_max,False,False,False,False
5,CSIRO-Mk3-6-0,88.94895178891336,85.71124518591708,182.61648878957288,247.29244092514463,264.7206158693229,513.6537227775559,IS_mean,IS_max,False,False,False,False
6,CanESM2,74.74809113190928,138.78041937178824,139.37743779546543,315.2816575368245,449.948739973704,345.1708223660787,IS_mean,GS_max,False,False,False,False
7,GFDL-CM3,257.66286821716204,188.10106423624774,385.876169818778,1059.9293062210083,589.7099621037133,1043.6148681640625,IS_mean,LS_max,True,True,True,False
8,GFDL-ESM2G,38.0385541870339,258.05021767934153,191.2462610943992,139.71331780751547,912.7151836395261,523.8741899490356,GS_mean,GS_max,True,True,True,True
9,GFDL-ESM2M,99.13877176026438,140.83806328970724,238.56075607700166,337.77786407470705,511.8247078396316,830.5926025390625,IS_mean,IS_max,False,False,False,False
10,GISS-E2-R,407.75688405797104,217.13969938107866,306.97570872274144,1326.9791666666667,1115.2333333333333,1236.7875,LS_mean,LS_max,True,True,True,True
11,HadGEM2-CC,89.83138608522177,139.04149834873903,92.66039160151672,469.7811715353483,369.3688281071236,217.83912199012406,GS_mean,LS_max,False,False,False,False
12,HadGEM2-ES,79.89572403086056,180.10664960357315,95.99416245676777,325.86625016530354,503.20916684468585,224.43000030517578,GS_mean,GS_max,True,True,True,False
13,IPSL-CM5A-LR,83.3193406014287,88.37617251262932,248.68289691721677,487.8585684378942,424.59063312609993,951.0806291222573,IS_mean,IS_max,False,False,False,False
14,IPSL-CM5A-MR,184.24002091147577,186.63262130663526,266.49117657168165,1195.4473045580557,1230.6502865069083,923.8133500550083,IS_mean,GS_max,True,True,True,False
15,MIROC-ESM-CHEM,74.95661525974025,362.6835841049383,405.28502040175766,242.428125,2823.853125,3032.8458333333333,IS_mean,IS_max,True,True,True,True
16,MIROC5,132.30751627604167,486.9192496612466,376.62516468253966,563.390625,2484.978125,2487.45625,GS_mean,IS_max,True,True,True,True
17,MPI-ESM-LR,333.70438194028156,333.79596362991265,189.43850621003267,1232.967905630375,814.8548891968985,481.3937770234078,GS_mean,LS_max,True,True,True,True
18,MPI-ESM-MR,418.6102394964188,396.3753625655016,171.22540385912347,1227.0931377397515,1186.4299266051926,504.7326303433115,LS_mean,LS_max,True,True,True,True
19,MRI-CGCM3,25.408653772021776,250.61334890685845,296.98146097070855,68.04803181813,803.5445488454712,1112.7236134459752,IS_mean,IS_max,True,True,True,True
20,NorESM1-M,148.34146353884873,106.24580820065215,138.84103734379647,256.459897540258,190.75429362173278,227.75975172803973,LS_mean,LS_max,False,False,False,False
21,NorESM1-ME,131.83494936574036,103.64362187467022,139.2821915435295,254.41393144523357,180.3636118474559,246.16226570202826,IS_mean,LS_max,False,False,False,False
22,bcc-csm1-1,90.68208071092765,147.1734343434239,265.225586757244,342.0220708211263,647.6141565958659,1135.2457383473713,IS_mean,IS_max,False,False,False,False
23,inmcm4,2297.7877371643567,2059.9894966100173,1649.4650776635476,3990.22900390625,3295.854443359375,4152.721419270833,LS_mean,IS_max,True,True,True,True
